Commodity,Planted All Purpose Acres,Harvested Acres,Yield,Production,Price per Unit,Value of Production in Dollars
"COTTON, COTTONSEED",,,,"100,000 TONS",381 $ / TON,"36,195,000"
"COTTON, PIMA","85,000","82,000","1,346 LB / ACRE","230,000 480 LB BALES",,
COTTON,"98,000","94,800","1,438 LB / ACRE","284,000 480 LB BALES",,
"COTTON, UPLAND","13,000","12,800","2,025 LB / ACRE","54,000 480 LB BALES",(D) $ / LB,(D)
CUCUMBERS,"7,000","7,000",185 CWT / ACRE,"1,295,000 CWT",26.6 $ / CWT,"34,376,000"
"CUCUMBERS, FRESH MARKET",,,,,64 $ / CWT,"22,624,000"
"CUCUMBERS, PROCESSING",,,,,250 $ / TON,"11,752,000"
"CUCUMBERS, UTILIZED",,,,"1,293,700 CWT",,
PUMPKINS,"5,300","5,100",300 CWT / ACRE,"1,530,000 CWT",20.4 $ / CWT,"30,494,000"
"PUMPKINS, FRESH MARKET",,,,,20.4 $ / CWT,"30,494,000"
"PUMPKINS, UTILIZED",,,,"1,494,800 CWT",,
SAFFLOWER,"22,000","21,500","2,100 LB / ACRE","45,150,000 LB",36 $ / CWT,"16,254,000"
SUNFLOWER,"28,500","28,000","1,051 LB / ACRE","29,425,000 LB",36.6 $ / CWT,"10,757,000"
BARLEY,"40,000","19,000",75 BU / ACRE,"1,425,000 BU",5.3 $ / BU,"7,553,000"
OATS,"90,000","5,000",75 BU / ACRE,"375,000 BU",3.9 $ / BU,"1,463,000"
"FOLIAGE PLANTS, INDOOR USE",,,,,,
CUT CULTIVATED GREENS,,,,,,
"BEDDING PLANTS, ANNUAL",,,,,,
"FLOWERING PLANTS, POTTED, INDOOR USE, POTS",,,,,,
"ASPARAGUS, UTILIZED",,,,(D) CWT,,
"ASPARAGUS, PROCESSING",,,,,(D) $ / TON,(D)
"ASPARAGUS, FRESH MARKET",,,,,(D) $ / CWT,(D)
ASPARAGUS,(D),(D),(D) CWT / ACRE,(D) CWT,(D) $ / CWT,(D)
CUT FLOWERS,,,,,,
SUGARBEETS,"23,000","22,600",48.8 TONS / ACRE,"1,103,000 TONS",,
"PROPAGATIVE MATERIAL, FLORICULTURE",,,,,,
"MUSHROOMS, AGARICUS",,,6.54 LB / SQ FT,"82,515,065 LB",2.45 $ / LB,
"HAYLAGE, (EXCL ALFALFA)",,"125,000",14.4 TONS / ACRE,"1,800,000 TONS",,
"HAYLAGE, ALFALFA",,"60,000",7.3 TONS / ACRE,"438,000 TONS",,
HAYLAGE,,"185,000",12.1 TONS / ACRE,"2,238,000 TONS",,
"BEDDING PLANTS, HERBACEOUS PERENNIAL",,,,,,
CHICKPEAS,"4,400","4,400","2,800 LB / ACRE","123,000 CWT",(D) $ / CWT,(D)
